ax, ay, az, gx, gy, gz, state
0.025879, 1.009277, -0.123779, -3.419847, -0.549618, 0.732824, closed
0.030029, 1.002686, -0.119385, -3.297710, -0.671756, 0.916031, closed
0.019531, 1.013916, -0.120605, -3.175573, -0.549618, 0.916031, closed
0.031494, 1.013672, -0.127930, -3.297710, -0.610687, 1.038168, closed
0.027832, 1.004639, -0.126465, -3.053435, -0.671756, 0.793893, closed
0.029785, 1.010254, -0.125488, -3.358779, -0.671756, 0.854962, closed
0.024658, 1.004639, -0.110107, -3.358779, -0.732824, 0.732824, closed
0.032471, 1.011963, -0.124023, -3.114504, -0.732824, 0.793893, closed
0.032715, 1.014404, -0.113525, -3.358779, -0.793893, 0.916031, closed
0.021484, 1.006104, -0.121338, -3.175573, -0.671756, 0.793893, closed
0.025391, 1.004639, -0.117676, -3.358779, -0.427481, 0.854962, closed
0.018555, 1.012695, -0.116699, -3.236641, -0.610687, 0.610687, closed
0.028564, 1.014648, -0.123047, -3.297710, -0.793893, 0.977099, closed
0.024170, 1.003906, -0.124756, -3.297710, -0.610687, 0.793893, closed
0.014893, 1.013184, -0.118164, -3.236641, -0.305344, 0.793893, closed
0.024658, 1.009277, -0.113281, -3.297710, -0.488550, 0.671756, closed
0.025391, 1.005615, -0.123047, -3.236641, -0.610687, 0.793893, closed
0.022461, 1.009033, -0.123779, -3.297710, -0.610687, 0.793893, closed
0.026123, 1.008545, -0.119385, -3.419847, -0.732824, 0.854962, closed
0.022705, 1.007324, -0.120117, -3.358779, -0.549618, 0.793893, closed
0.026123, 1.008057, -0.115723, -3.236641, -0.671756, 0.854962, closed
0.024902, 1.007812, -0.122314, -3.175573, -0.610687, 0.732824, closed
0.032227, 1.008545, -0.117432, -3.419847, -0.610687, 0.793893, closed
0.022461, 1.010254, -0.125732, -3.175573, -0.732824, 0.793893, closed
0.027588, 1.010254, -0.125244, -3.175573, -0.610687, 0.793893, closed
0.028564, 1.010742, -0.126465, -3.236641, -0.549618, 0.793893, closed
0.025879, 1.010254, -0.118896, -3.175573, -0.671756, 0.854962, closed
0.026611, 1.003418, -0.120605, -3.419847, -0.610687, 0.793893, closed
0.031738, 1.008301, -0.135010, -3.297710, -0.488550, 0.977099, closed
0.021240, 1.012695, -0.131104, -3.297710, -0.671756, 0.793893, closed
0.031006, 1.006836, -0.121338, -3.175573, -0.671756, 0.732824, closed
0.027832, 1.007812, -0.115479, -3.297710, -0.854962, 0.977099, closed
0.028076, 1.005371, -0.123291, -3.297710, -0.488550, 0.610687, closed
0.026123, 1.006836, -0.131348, -3.175573, -0.732824, 0.732824, closed
0.023682, 1.012451, -0.128906, -3.175573, -0.854962, 0.916031, closed
0.029541, 1.011475, -0.117920, -3.358779, -0.610687, 0.732824, closed
0.030762, 1.017822, -0.116455, -3.297710, -0.427481, 0.916031, closed
0.025635, 1.010986, -0.110107, -3.358779, -0.732824, 0.977099, closed
0.027344, 1.010986, -0.115723, -3.053435, -0.671756, 0.916031, closed
0.024170, 1.009277, -0.130615, -3.297710, -0.732824, 0.671756, closed
0.029541, 1.013916, -0.111328, -3.236641, -0.793893, 0.854962, closed
0.031006, 1.000488, -0.130615, -3.419847, -0.488550, 0.793893, closed
0.027588, 1.004639, -0.119629, -3.175573, -0.549618, 0.854962, closed
0.023438, 1.003662, -0.125977, -3.053435, -0.793893, 0.916031, closed
0.026123, 1.009766, -0.116699, -3.236641, -0.549618, 0.793893, closed
0.028809, 1.010010, -0.117676, -3.175573, -0.854962, 0.854962, closed
0.018311, 1.008789, -0.114990, -3.175573, -0.610687, 0.854962, closed
0.022705, 1.008545, -0.114502, -3.236641, -0.488550, 0.854962, closed
0.026611, 1.008301, -0.126465, -3.480916, -0.488550, 0.854962, closed
0.025391, 1.003662, -0.119141, -3.114504, -0.610687, 0.793893, closed
0.025635, 1.007568, -0.116699, -3.297710, -0.732824, 0.793893, closed
0.019531, 1.007568, -0.128174, -3.297710, -0.427481, 0.854962, closed
0.027588, 1.009521, -0.122559, -3.175573, -0.732824, 0.854962, closed
0.031250, 1.007812, -0.124512, -3.297710, -0.549618, 0.671756, closed
0.024414, 1.013672, -0.116455, -3.114504, -0.610687, 0.732824, closed
0.026123, 1.005371, -0.127441, -3.236641, -0.671756, 0.854962, closed
0.021729, 1.005615, -0.113037, -3.297710, -0.610687, 0.916031, closed
0.026611, 1.007568, -0.108887, -3.236641, -0.610687, 0.732824, closed
0.028320, 1.008789, -0.114014, -3.175573, -0.610687, 0.671756, closed
0.026611, 1.008789, -0.125732, -3.358779, -0.671756, 0.793893, closed
0.022461, 1.008301, -0.114014, -3.236641, -0.610687, 0.854962, closed
0.019043, 1.010498, -0.118164, -3.236641, -0.671756, 0.732824, closed
0.026367, 1.011719, -0.117676, -3.175573, -0.610687, 0.916031, closed
0.026123, 1.005371, -0.112549, -3.358779, -0.488550, 0.854962, closed
0.028320, 1.006592, -0.120850, -3.053435, -0.671756, 0.854962, closed
0.025391, 1.012695, -0.125244, -3.358779, -0.671756, 0.793893, closed
0.027344, 1.010742, -0.121582, -3.053435, -0.671756, 0.732824, closed
0.029297, 1.007812, -0.114014, -3.297710, -0.549618, 0.732824, closed
0.023682, 1.012451, -0.117920, -3.358779, -0.732824, 0.671756, closed
0.019775, 1.008789, -0.123047, -3.236641, -0.732824, 0.854962, closed
0.027832, 1.004883, -0.121094, -3.236641, -0.671756, 0.977099, closed
0.027832, 1.007812, -0.120850, -3.480916, -0.732824, 0.793893, closed
0.021484, 1.009521, -0.116699, -3.358779, -0.671756, 0.793893, closed
0.028809, 1.012451, -0.123779, -3.175573, -0.671756, 0.793893, closed
0.024170, 1.007812, -0.117432, -3.175573, -0.488550, 0.854962, closed
0.024902, 1.004150, -0.131104, -3.297710, -0.793893, 0.793893, closed
0.029053, 1.010254, -0.126709, -3.236641, -0.549618, 0.916031, closed
0.023193, 1.009766, -0.122803, -3.175573, -0.610687, 0.793893, closed
0.025391, 1.009521, -0.122559, -3.114504, -0.366412, 0.671756, closed
0.033447, 1.004883, -0.128906, -3.358779, -0.610687, 0.549618, closed
0.028320, 1.007812, -0.112061, -3.297710, -0.549618, 0.916031, closed
0.028809, 1.010498, -0.121826, -3.114504, -0.549618, 0.854962, closed
0.032227, 1.009766, -0.124756, -3.297710, -0.549618, 0.793893, closed
0.025391, 1.005859, -0.122559, -3.175573, -0.610687, 0.793893, closed
0.023682, 1.007812, -0.125488, -3.297710, -0.671756, 0.732824, closed
0.033203, 1.010986, -0.112549, -3.419847, -0.427481, 0.916031, closed
0.026367, 1.007812, -0.116943, -3.236641, -0.610687, 0.793893, closed
0.024414, 1.012451, -0.114746, -3.236641, -0.549618, 0.916031, closed
0.020996, 1.013916, -0.116943, -3.236641, -0.732824, 0.671756, closed
0.027588, 1.006348, -0.114502, -3.114504, -0.549618, 0.793893, closed
0.029785, 1.007568, -0.125000, -3.236641, -0.610687, 0.793893, closed
0.023193, 1.006836, -0.125244, -3.175573, -0.732824, 0.854962, closed
0.024170, 1.009277, -0.119141, -3.236641, -0.549618, 0.732824, closed
0.028564, 1.004639, -0.116943, -3.236641, -0.671756, 0.610687, closed
0.032715, 1.007568, -0.114014, -3.297710, -0.549618, 0.977099, closed
0.027100, 1.006348, -0.121826, -3.480916, -0.671756, 0.854962, closed
0.020508, 1.009766, -0.121826, -3.297710, -0.671756, 0.732824, closed
0.032715, 1.010498, -0.121582, -3.236641, -0.488550, 0.854962, closed
0.021973, 1.011719, -0.124512, -3.236641, -0.671756, 0.671756, closed
0.024658, 1.007568, -0.126953, -3.419847, -0.610687, 0.793893, closed
0.022461, 1.005371, -0.120605, -3.236641, -0.732824, 0.732824, closed
0.020020, 1.005615, -0.122314, -3.175573, -0.732824, 0.671756, closed
0.019043, 1.006104, -0.116943, -3.358779, -0.671756, 0.793893, closed
0.028809, 1.011475, -0.119629, -3.297710, -0.549618, 0.793893, closed
0.027100, 1.002686, -0.112793, -3.236641, -0.793893, 0.916031, closed
0.029541, 1.003906, -0.122314, -3.175573, -0.610687, 0.854962, closed
0.022705, 1.009277, -0.125488, -3.297710, -0.671756, 0.793893, closed
0.032227, 1.009766, -0.120850, -3.358779, -0.671756, 0.854962, closed
0.028809, 1.008545, -0.116943, -3.175573, -0.610687, 0.916031, closed
0.022461, 1.005127, -0.126709, -3.358779, -0.671756, 0.732824, closed
0.020264, 1.007568, -0.121094, -3.297710, -0.732824, 0.549618, closed
