ax,ay,az,gx,gy,gz,state
0.031494,1.010986,-0.123291,-3.297710,-0.732824,0.793893,open
0.026611,1.006836,-0.118408,-3.114504,-0.671756,0.732824,open
0.028076,1.007324,-0.114258,-3.358779,-0.549618,0.793893,open
0.027344,1.008057,-0.113525,-3.358779,-0.610687,0.854962,open
0.031982,1.007812,-0.121094,-3.419847,-0.671756,0.916031,open
0.027100,1.009277,-0.118164,-3.175573,-0.549618,0.916031,open
0.027588,1.009521,-0.122070,-3.236641,-0.488550,0.671756,open
0.025635,1.006348,-0.126221,-3.297710,-0.671756,0.793893,open
0.030762,1.005615,-0.119385,-3.236641,-0.732824,0.916031,open
0.030273,1.013916,-0.119141,-3.358779,-0.488550,0.732824,open
0.026123,1.007812,-0.110352,-3.297710,-0.488550,0.732824,open
0.030762,1.005127,-0.122070,-3.297710,-0.549618,0.793893,open
0.029297,1.008545,-0.113525,-3.358779,-0.610687,0.732824,open
0.030762,1.001953,-0.113770,-3.236641,-0.610687,0.732824,open
0.029053,1.010010,-0.123291,-3.358779,-0.549618,0.793893,open
0.018555,1.011475,-0.114990,-3.297710,-0.549618,0.854962,open
0.029785,1.010498,-0.124268,-3.175573,-0.671756,0.732824,open
0.030029,1.007324,-0.114502,-3.236641,-0.671756,0.549618,open
0.031006,1.006836,-0.108154,-3.297710,-0.610687,0.854962,open
0.029541,1.011963,-0.120850,-3.236641,-0.488550,0.671756,open
0.024170,1.007812,-0.123535,-3.419847,-0.610687,0.671756,open
0.030029,1.008789,-0.114258,-3.236641,-0.427481,0.793893,open
0.027100,1.014404,-0.110107,-3.358779,-0.671756,0.732824,open
0.023682,1.007080,-0.116455,-3.236641,-0.610687,0.854962,open
0.020264,1.003662,-0.114990,-3.297710,-0.610687,0.793893,open
0.025391,1.008789,-0.115723,-3.419847,-0.549618,0.671756,open
0.025391,1.009033,-0.115479,-3.297710,-0.732824,0.916031,open
0.028564,1.012695,-0.110840,-3.358779,-0.610687,0.732824,open
0.026611,1.014648,-0.114502,-3.175573,-0.549618,0.854962,open
0.025391,1.009277,-0.101318,-3.358779,-0.610687,0.793893,open
0.026855,1.010742,-0.115723,-3.175573,-0.732824,0.671756,open
0.031494,1.001709,-0.111816,-3.297710,-0.671756,0.671756,open
0.022705,1.004883,-0.121094,-3.297710,-0.549618,0.793893,open
0.030518,1.010742,-0.122070,-3.297710,-0.549618,0.793893,open
0.024902,1.010254,-0.129639,-3.297710,-0.671756,0.854962,open
0.025635,1.006836,-0.126221,-3.175573,-0.671756,0.916031,open
0.021729,1.006836,-0.114502,-3.175573,-0.549618,0.732824,open
0.026123,1.009766,-0.108887,-3.175573,-0.671756,0.732824,open
0.030273,1.006836,-0.115479,-3.358779,-0.732824,0.671756,open
0.027100,1.005371,-0.114746,-3.297710,-0.732824,0.793893,open
0.032715,1.010986,-0.125977,-3.480916,-0.977099,0.854962,open
0.028076,1.015381,-0.127197,-3.236641,-0.916031,0.732824,open
0.020996,1.008057,-0.122559,-3.114504,-0.916031,0.854962,open
0.025635,1.013184,-0.134277,-3.114504,-0.916031,0.793893,open
0.028809,1.008789,-0.128418,-3.297710,-1.038168,0.854962,open
0.030518,1.006836,-0.110596,-3.297710,-0.916031,0.916031,open
0.024170,1.003418,-0.123291,-3.358779,-0.977099,0.854962,open
0.025391,1.011475,-0.117188,-3.297710,-1.099237,0.916031,open
0.027100,1.009521,-0.114990,-3.236641,-0.854962,0.977099,open
0.029297,1.003418,-0.109375,-3.297710,-0.977099,0.854962,open
0.028320,1.010498,-0.122314,-3.236641,-0.793893,0.916031,open
0.024902,1.004639,-0.115234,-3.114504,-1.038168,0.671756,open
0.027832,1.004395,-0.116455,-3.358779,-0.793893,0.793893,open
0.026123,1.005371,-0.119141,-3.236641,-0.854962,0.793893,open
0.030273,1.005371,-0.107178,-3.297710,-0.549618,0.793893,open
0.030762,1.012451,-0.115234,-3.053435,-0.671756,0.854962,open
0.029053,1.009277,-0.104980,-3.297710,-0.671756,0.671756,open
0.028320,1.005371,-0.109131,-3.297710,-0.732824,0.793893,open
0.025146,1.007568,-0.113037,-3.297710,-0.671756,0.793893,open
0.031982,1.009521,-0.107178,-3.480916,-0.610687,0.793893,open
0.026855,1.009277,-0.115967,-3.236641,-0.793893,0.671756,open
0.025391,1.007812,-0.111328,-3.114504,-0.671756,0.854962,open
0.029785,1.008789,-0.116699,-3.175573,-0.610687,0.854962,open
0.023193,1.007324,-0.108887,-3.297710,-0.671756,0.793893,open
0.031006,1.004150,-0.125244,-3.908397,-0.671756,0.732824,open
0.031738,1.007080,-0.103027,-3.664122,-0.732824,0.854962,open
0.022949,1.000732,-0.114502,-3.236641,-0.671756,0.793893,open
0.029541,1.008301,-0.109863,-2.992366,-0.671756,0.671756,open
0.029053,1.009277,-0.107422,-3.053435,-0.549618,0.854962,open
0.020264,1.010254,-0.126465,-3.358779,-0.671756,0.732824,open
0.027588,1.008789,-0.110352,-3.419847,-0.671756,0.854962,open
0.023926,1.005371,-0.113770,-3.725191,-0.916031,0.732824,open
0.023438,1.010986,-0.122070,-3.297710,-0.671756,0.793893,open
0.030029,1.006104,-0.108887,-2.992366,-0.671756,0.732824,open
0.027832,1.015137,-0.111084,-3.236641,-0.549618,0.671756,open
0.026855,1.007324,-0.119873,-3.358779,-0.732824,0.793893,open
0.024658,1.004395,-0.112793,-3.297710,-0.610687,0.671756,open
0.021973,1.009033,-0.114258,-3.358779,-0.549618,0.793893,open
0.025391,1.005371,-0.107422,-3.236641,-0.488550,0.977099,open
0.022461,1.010742,-0.125000,-3.053435,-0.671756,0.732824,open
0.029297,1.007568,-0.105713,-3.053435,-0.488550,0.854962,open
0.031006,1.004883,-0.116455,-3.358779,-0.549618,0.854962,open
0.018066,1.012451,-0.127197,-3.358779,-0.732824,0.793893,open
0.025146,1.015869,-0.110352,-2.503817,-0.549618,0.793893,open
0.026123,1.013672,-0.134033,-3.297710,-0.549618,0.793893,open
0.039795,1.005859,-0.138916,-3.358779,-0.732824,0.732824,open
0.021973,1.011230,-0.095215,-3.419847,-0.732824,0.854962,open
0.024414,1.018555,-0.130371,-3.603053,-0.549618,0.793893,open
0.026123,1.002441,-0.107910,-3.419847,-0.793893,0.854962,open
0.031982,1.012939,-0.100586,-3.236641,-0.427481,0.977099,open
0.032227,1.000488,-0.120605,-3.297710,-0.549618,0.916031,open
0.025391,1.006104,-0.110352,-3.297710,-0.610687,0.916031,open
0.024414,1.018555,-0.104736,-3.053435,-0.549618,0.793893,open
0.027100,1.002197,-0.121338,-3.480916,-0.671756,0.610687,open
0.026123,1.011719,-0.122070,-3.541985,-0.610687,0.671756,open
0.025391,1.010010,-0.107422,-3.175573,-0.610687,0.793893,open
0.021729,1.000977,-0.122070,-3.175573,-0.366412,0.916031,open
0.031494,1.009521,-0.121826,-3.175573,-0.610687,0.732824,open
0.027344,1.003662,-0.092041,-3.236641,-0.671756,0.793893,open
0.021240,1.018066,-0.174316,-3.908397,-1.099237,0.610687,open
0.019775,1.019531,-0.131836,-3.358779,-0.732824,0.671756,open
0.018799,1.010742,-0.125244,-3.297710,-0.488550,0.793893,open
0.032715,1.000488,-0.127197,-2.992366,-0.671756,0.732824,open
0.036865,1.003906,-0.096680,-3.358779,-0.488550,0.732824,open
0.022461,1.009033,-0.111816,-3.603053,-0.549618,0.732824,open
0.031982,1.002197,-0.115479,-3.480916,-0.916031,0.793893,open
0.021729,1.008545,-0.106934,-3.297710,-0.549618,0.671756,open
0.025635,1.005615,-0.126953,-2.931298,-0.488550,0.793893,open
0.030762,0.997559,-0.120361,-3.114504,-0.488550,0.732824,open
0.027588,1.015625,-0.113525,-3.053435,-0.671756,0.671756,open
0.029297,1.003174,-0.110352,-3.297710,-0.671756,0.732824,open
0.025146,1.008301,-0.136963,-3.603053,-0.549618,0.610687,open
0.031738,1.013184,-0.114746,-3.297710,-0.610687,0.854962,open
0.024170,1.001709,-0.116699,-2.992366,-0.305344,0.793893,open
0.020996,1.010498,-0.080078,-1.404580,-0.610687,0.671756,open
0.033691,1.003174,-0.122314,-2.870229,-0.610687,0.854962,open
0.041504,1.016113,-0.160156,-3.786260,-0.916031,0.671756,open
0.017334,1.014160,-0.112793,-3.847328,-0.732824,0.854962,open
0.020996,1.025391,-0.139404,-3.541985,-0.793893,0.671756,open
0.022705,1.005615,-0.117676,-3.297710,-0.793893,0.610687,open
0.034424,1.016602,-0.103516,-2.870229,-0.366412,0.732824,open
0.030762,0.999023,-0.115234,-3.236641,-0.549618,0.732824,open
0.026123,1.005371,-0.123047,-3.786260,-0.793893,0.793893,open
0.020996,1.009277,-0.099365,-3.175573,-0.671756,0.732824,open
0.025391,1.010986,-0.117920,-3.419847,-0.549618,0.671756,open
0.023193,1.008789,-0.121826,-3.175573,-0.488550,1.038168,open
0.025391,1.007812,-0.102783,-2.931298,-0.488550,0.793893,open
0.035400,0.977295,-0.056641,-2.687023,-0.122137,0.793893,open
0.032715,0.996582,-0.083008,-3.419847,-1.038168,0.977099,open
0.026367,1.011230,-0.119873,-2.870229,-1.038168,0.854962,open
0.015137,1.021729,-0.114746,-2.931298,-0.671756,0.854962,open
0.025635,1.009766,-0.133545,-2.748092,-0.610687,0.793893,open
0.022705,1.009277,-0.138184,-3.358779,-0.549618,0.732824,open
0.034912,1.003906,-0.108398,-2.992366,-0.427481,0.793893,open
0.033447,0.998291,-0.121338,-3.786260,-0.854962,0.732824,open
0.034180,1.019775,-0.125000,-3.603053,-0.854962,0.916031,open
0.019775,1.010498,-0.104492,-2.992366,-0.549618,0.793893,open
0.024658,1.020996,-0.176514,-4.824428,-0.671756,0.732824,open
0.026855,1.013428,-0.120605,-3.236641,-0.488550,0.671756,open
0.026611,0.989502,-0.004639,-1.587786,0.610687,0.793893,open
0.036377,0.993896,-0.096680,-3.419847,-0.671756,0.854962,open
0.033691,1.000488,-0.127441,-3.358779,-0.916031,0.977099,open
0.019043,1.018066,-0.113525,-2.992366,-0.610687,0.854962,open
0.029297,1.016357,-0.147461,-3.175573,-0.610687,0.793893,open
0.015625,1.007080,-0.127197,-3.175573,-0.305344,0.854962,open
0.032959,1.017090,-0.097900,-2.625954,-0.305344,0.854962,open
0.042969,0.994385,-0.122559,-3.664122,-0.610687,0.671756,open
0.024658,1.018555,-0.146973,-3.725191,-0.793893,0.854962,open
0.029297,1.004883,-0.104248,-2.870229,-0.427481,0.854962,open
0.013672,1.010010,-0.138672,-3.541985,-0.488550,0.732824,open
0.024170,1.014404,-0.130859,-3.297710,-0.732824,0.916031,open
0.034424,0.999268,-0.088867,-2.931298,-0.366412,0.854962,open
0.026367,0.976318,-0.015381,-1.282443,-0.183206,0.854962,open
0.035156,0.998291,-0.124512,-3.114504,-1.221374,0.977099,open
0.035400,1.018066,-0.134033,-2.870229,-1.526718,0.977099,open
0.010010,1.027832,-0.131348,-3.236641,-1.038168,0.732824,open
0.020020,1.022217,-0.144287,-2.931298,-1.038168,0.854962,open
0.028320,1.009521,-0.110352,-3.297710,-0.671756,0.916031,open
0.024658,1.015869,-0.095459,-2.992366,-0.732824,0.793893,open
0.032471,0.994629,-0.128662,-3.664122,-1.038168,0.671756,open
0.026367,1.025879,-0.128174,-3.664122,-1.160305,0.732824,open
0.017822,1.016846,-0.088867,-2.809160,-0.854962,0.916031,open
0.023438,1.005127,-0.133301,-3.297710,-0.610687,0.854962,open
0.031494,1.011230,-0.097412,-3.175573,-0.732824,0.793893,open
0.029297,0.999512,-0.089355,-2.931298,-0.610687,0.732824,open
0.028564,1.005615,-0.127441,-3.419847,-0.732824,0.854962,open
0.029541,1.011963,-0.111328,-3.175573,-0.793893,1.038168,open
0.022461,1.011719,-0.107178,-2.931298,-0.549618,0.793893,open
0.024414,1.013672,-0.128418,-3.114504,-0.671756,0.732824,open
0.025635,1.009521,-0.117676,-3.236641,-0.488550,0.732824,open
0.032959,1.007568,-0.106201,-3.175573,-0.366412,0.793893,open
0.029541,1.009277,-0.118164,-3.358779,-0.549618,0.732824,open
0.030518,1.011963,-0.114258,-3.419847,-0.549618,0.793893,open
0.021973,1.010498,-0.114502,-3.114504,-0.427481,0.793893,open
0.024658,1.009766,-0.116455,-3.236641,-0.549618,0.793893,open
0.024902,1.010010,-0.116211,-3.480916,-0.427481,0.610687,open
0.029297,0.995850,-0.080322,-2.503817,-0.366412,0.916031,open
0.033936,1.005127,-0.126465,-3.480916,-0.610687,0.732824,open
0.030762,1.014893,-0.144043,-3.419847,-0.854962,0.916031,open
0.017578,1.009033,-0.113525,-3.419847,-0.916031,0.854962,open
0.022705,1.019287,-0.145020,-3.236641,-0.793893,0.793893,open
0.023438,1.002197,-0.117676,-3.236641,-0.854962,0.854962,open
0.034424,1.008545,-0.108887,-3.419847,-0.671756,0.916031,open
0.026611,1.000488,-0.114258,-3.358779,-0.854962,0.671756,open
0.027588,1.010254,-0.105713,-3.419847,-0.916031,0.732824,open
0.034424,1.010986,-0.113281,-3.175573,-0.793893,0.671756,open
0.023926,1.010742,-0.114746,-3.297710,-0.671756,0.793893,open
0.032227,1.011475,-0.106445,-3.297710,-0.793893,0.732824,open
0.029785,1.010498,-0.101562,-3.114504,-0.671756,0.916031,open
0.026855,1.009033,-0.109375,-3.358779,-0.732824,0.854962,open
0.031006,1.010742,-0.126953,-3.053435,-0.610687,0.732824,open
0.028809,1.005371,-0.107666,-3.053435,-0.549618,0.854962,open
0.024658,1.014893,-0.124023,-3.358779,-0.610687,0.793893,open
0.030762,1.008545,-0.113770,-3.175573,-0.732824,0.671756,open
0.023438,1.008057,-0.117188,-3.053435,-0.610687,0.671756,open
0.031982,1.012207,-0.111328,-3.114504,-0.549618,0.793893,open
0.026855,1.009277,-0.104004,-3.175573,-0.427481,0.732824,open
0.027588,1.004395,-0.117676,-3.114504,-0.549618,0.916031,open
0.030518,1.011963,-0.123047,-3.419847,-0.549618,0.732824,open
0.025146,1.007324,-0.118652,-3.297710,-0.549618,0.793893,open
0.025635,1.005859,-0.113525,-3.114504,-0.549618,0.854962,open
0.022705,1.008057,-0.118896,-3.297710,-0.488550,0.793893,open
0.025146,1.002930,-0.124023,-3.358779,-0.610687,0.854962,open
0.029297,1.013428,-0.121094,-3.297710,-0.549618,0.916031,open
0.026611,1.012207,-0.114746,-3.419847,-0.305344,0.549618,open
0.022949,1.010254,-0.114746,-3.419847,-0.610687,0.854962,open
0.027588,1.001953,-0.121338,-3.297710,-0.488550,0.793893,open
0.023682,1.009277,-0.118408,-3.236641,-0.488550,0.671756,open
0.023926,1.007812,-0.130615,-3.297710,-0.671756,0.854962,open
0.031494,1.008057,-0.112549,-3.358779,-0.427481,0.854962,open
0.030029,1.006836,-0.127441,-3.358779,-0.610687,0.793893,open
0.035889,1.006104,-0.123779,-3.419847,-0.732824,0.854962,open
0.023438,1.009277,-0.123047,-3.297710,-0.671756,0.916031,open
0.025879,1.001953,-0.123047,-3.419847,-0.916031,0.916031,open
0.026367,1.008545,-0.123779,-3.175573,-0.854962,0.732824,open
0.031006,1.004883,-0.118896,-3.175573,-0.977099,0.732824,open
0.026123,1.011963,-0.127441,-3.419847,-0.732824,0.916031,open
0.021973,1.007324,-0.123291,-3.236641,-0.977099,0.732824,open
0.031006,1.008789,-0.113037,-3.175573,-0.916031,0.916031,open
0.028320,1.005859,-0.123047,-3.236641,-1.099237,0.854962,open
0.026855,1.003662,-0.128418,-3.297710,-1.038168,0.732824,open
0.030273,1.002930,-0.115479,-3.236641,-0.916031,0.793893,open
0.026855,1.008301,-0.114746,-3.053435,-0.916031,0.732824,open
0.024902,1.006104,-0.124268,-3.297710,-0.977099,0.916031,open
0.030273,1.011719,-0.112549,-3.175573,-1.221374,0.854962,open
0.030762,1.004150,-0.117920,-3.236641,-1.221374,0.854962,open
0.029297,1.008789,-0.117920,-3.358779,-1.160305,0.793893,open
0.022705,1.010498,-0.116699,-3.236641,-1.221374,0.732824,open
0.029297,1.010742,-0.107422,-3.236641,-0.488550,0.793893,open
0.025635,1.008057,-0.113525,-3.297710,-0.610687,0.671756,open
0.028076,1.013184,-0.114014,-3.358779,-0.488550,0.793893,open
0.028809,1.006348,-0.115967,-3.297710,-0.549618,0.793893,open
0.030029,1.010010,-0.116211,-3.175573,-0.793893,0.854962,open
0.027344,1.011475,-0.125244,-3.236641,-0.793893,0.732824,open
0.025635,1.011719,-0.118896,-3.175573,-0.671756,0.793893,open
0.030762,1.014893,-0.119629,-3.236641,-0.549618,0.732824,open
