ax, ay, az, gx, gy, gz, state
0.020264, 1.003418, -0.109863, -3.297710, -0.671756, 0.793893, opening
0.020020, 1.010986, -0.122803, -3.114504, -0.732824, 0.854962, opening
0.024658, 1.006836, -0.119629, -3.297710, -0.549618, 0.732824, opening
0.017090, 1.012451, -0.120605, -3.175573, -0.610687, 0.732824, opening
0.020996, 1.010010, -0.119629, -3.114504, -0.610687, 0.671756, opening
0.010986, 1.007080, -0.123535, -3.480916, -0.610687, 0.854962, opening
0.028076, 1.007080, -0.118164, -3.114504, -0.549618, 0.854962, opening
0.016113, 1.006836, -0.116455, -3.053435, -0.488550, 0.793893, opening
0.015381, 1.011719, -0.115967, -3.419847, -0.732824, 0.916031, opening
0.017578, 1.009033, -0.123535, -3.175573, -0.732824, 0.732824, opening
0.020264, 1.004150, -0.112793, -3.114504, -0.610687, 0.732824, opening
0.021484, 1.013184, -0.125732, -3.358779, -0.854962, 0.854962, opening
0.017334, 1.006836, -0.127686, -3.114504, -0.610687, 0.793893, opening
0.021484, 1.003418, -0.113770, -3.297710, -0.549618, 0.854962, opening
0.017822, 1.012207, -0.124023, -3.358779, -0.671756, 0.854962, opening
0.019531, 1.009277, -0.113037, -3.297710, -0.671756, 0.732824, opening
0.020752, 1.008789, -0.117676, -3.236641, -0.671756, 0.671756, opening
0.019531, 1.003174, -0.123535, -3.114504, -0.488550, 0.732824, opening
0.017090, 1.007080, -0.128662, -3.175573, -0.671756, 0.793893, opening
0.019531, 1.009033, -0.117920, -3.297710, -0.549618, 0.732824, opening
0.018799, 1.008789, -0.126709, -3.297710, -0.549618, 0.854962, opening
0.020508, 1.003418, -0.126709, -3.053435, -0.671756, 0.671756, opening
0.015869, 1.010498, -0.127930, -3.297710, -0.549618, 0.671756, opening
0.013672, 1.004150, -0.124756, -3.358779, -0.610687, 0.793893, opening
0.024170, 1.012451, -0.115967, -3.236641, -0.488550, 0.793893, opening
0.018799, 1.009033, -0.119385, -3.297710, -0.549618, 0.793893, opening
0.020264, 1.010742, -0.114990, -3.114504, -0.549618, 0.854962, opening
0.024414, 1.001953, -0.128662, -3.236641, -0.610687, 0.854962, opening
0.021240, 0.994141, -0.127197, -3.725191, -0.305344, 0.793893, opening
0.023926, 0.999512, -0.139648, -3.664122, -0.610687, 0.793893, opening
0.016602, 1.004883, -0.114990, -3.297710, -0.671756, 0.854962, opening
-0.036133, 0.954346, -0.060791, -3.297710, 0.793893, 0.854962, opening
0.087891, 1.012451, -0.177979, -0.305344, -1.893130, 1.099237, opening
0.010986, 1.008301, -0.039307, -2.809160, 0.488550, 0.732824, opening
0.023926, 0.912598, -0.068848, -7.083970, 4.152672, 0.122137, opening
-0.111572, 0.967041, 0.002930, -4.946565, -1.893130, 0.732824, opening
-0.006104, 0.953369, 0.179688, -7.877862, 4.458015, 0.244275, opening
-0.079590, 1.050781, 0.063232, -1.893130, 0.427481, 1.221374, opening
0.114258, 0.989502, -0.012207, -3.480916, 3.541985, 0.610687, opening
-0.004395, 0.989258, 0.074707, -3.236641, 4.824428, 0.916031, opening
-0.013428, 1.052002, 0.170410, -2.198473, 6.778626, 0.610687, opening
0.005859, 0.853027, 0.117920, 0.549618, 8.000000, 0.671756, opening
0.007324, 1.036621, 0.020020, -2.442748, 10.076336, 0.671756, opening
0.027344, 1.044922, 0.026123, -3.419847, 12.213740, 0.671756, opening
0.009033, 1.013428, 0.017578, -2.687023, 13.190840, 0.671756, opening
-0.001221, 1.015869, 0.062988, -2.687023, 14.290076, 0.793893, opening
0.031006, 0.980713, 0.207031, -1.038168, 14.961832, 0.854962, opening
0.035889, 0.995361, -0.081543, -5.862596, 16.610687, 0.610687, opening
0.026367, 1.003906, -0.034912, -3.541985, 16.366413, 0.793893, opening
0.014160, 1.024170, 0.000000, -2.381679, 17.038168, 0.610687, opening
0.037598, 0.995850, -0.071289, -4.458015, 18.320610, 0.549618, opening
0.012451, 1.002930, -0.033203, -3.053435, 18.259542, 0.793893, opening
0.032227, 1.004883, -0.092529, -3.297710, 19.419847, 0.793893, opening
0.014893, 0.992432, -0.036621, -2.687023, 19.358778, 0.671756, opening
0.027588, 1.011230, -0.096191, -2.625954, 19.236641, 0.793893, opening
0.027100, 1.014893, -0.101074, -3.236641, 19.725191, 0.610687, opening
0.029297, 1.006348, -0.101318, -3.603053, 20.152672, 0.610687, opening
0.026855, 1.015625, -0.031982, -2.320611, 20.335878, 0.793893, opening
0.032959, 1.007812, -0.018799, -2.748092, 21.435114, 0.854962, opening
0.028564, 1.007568, -0.005127, -2.870229, 22.473282, 0.732824, opening
0.022461, 1.010498, 0.062744, -2.320611, 23.755726, 0.610687, opening
0.033447, 1.008057, 0.023926, -2.870229, 25.221375, 0.427481, opening
0.026123, 1.007324, 0.053223, -3.175573, 26.809160, 0.610687, opening
0.030273, 1.014648, 0.077393, -2.809160, 27.969465, 0.610687, opening
0.030762, 1.000244, 0.043701, -3.236641, 29.007633, 0.549618, opening
0.034912, 1.001709, 0.015625, -3.236641, 30.473282, 0.549618, opening
0.010498, 1.018799, 0.011230, -2.870229, 31.572519, 0.671756, opening
0.028564, 0.997803, -0.021240, -3.297710, 32.732826, 0.549618, opening
0.031982, 0.946777, 0.147461, -3.297710, 35.541985, 0.366412, opening
0.048828, 1.035889, -0.091064, -4.335878, 35.236641, 0.488550, opening
0.051758, 1.003174, 0.048340, -2.137405, 35.175571, 0.549618, opening
0.049072, 0.991699, 0.086914, -2.687023, 37.007633, 0.488550, opening
0.150635, 1.006348, 0.026367, -3.541985, 39.022900, 0.366412, opening
0.029297, 0.965088, 0.116211, -0.183206, 39.877861, 1.343511, opening
-0.051758, 1.032959, 0.004150, -0.732824, 38.778625, 0.183206, opening
0.080566, 0.991943, -0.029297, -6.534351, 40.244274, 0.488550, opening
0.059082, 1.003906, 0.013184, -1.770992, 42.137405, 0.427481, opening
0.034180, 1.018066, -0.058350, -1.770992, 41.893131, 0.488550, opening
0.078369, 1.018311, -0.043701, -2.381679, 44.335876, 0.183206, opening
0.107666, 0.997314, -0.087158, -3.175573, 44.152672, 0.244275, opening
0.085449, 1.006104, -0.066162, -4.274809, 45.007633, 0.549618, opening
0.083008, 1.013428, -0.039795, -3.603053, 45.435116, 0.366412, opening
0.081299, 0.994385, -0.071289, -4.519084, 45.740459, 0.549618, opening
0.082764, 1.030273, -0.058838, -4.885496, 46.106869, 0.427481, opening
0.086426, 1.040039, -0.081299, -4.274809, 46.961834, 0.671756, opening
0.077637, 1.007568, -0.084229, -4.091603, 47.267178, 0.366412, opening
0.091553, 0.998779, -0.057617, -3.603053, 47.877861, 0.610687, opening
0.087646, 0.966309, -0.068604, -3.908397, 48.305344, 0.671756, opening
0.087158, 0.993896, -0.060791, -3.969466, 48.793892, 0.183206, opening
0.116211, 0.968262, -0.088379, -3.419847, 49.465649, 0.305344, opening
0.083252, 1.010986, -0.066406, -3.175573, 49.526718, 0.549618, opening
0.084961, 1.019775, -0.068848, -3.969466, 49.954197, 0.427481, opening
0.088379, 1.009277, -0.060303, -3.541985, 50.259541, 0.427481, opening
0.087402, 1.010010, -0.061768, -3.969466, 50.992367, 0.549618, opening
0.088379, 1.011230, -0.055908, -4.152672, 51.847328, 0.427481, opening
0.090332, 1.006104, -0.047852, -4.030534, 52.335876, 0.488550, opening
0.094482, 1.008545, -0.043213, -3.786260, 52.824429, 0.610687, opening
0.097656, 1.009766, -0.035889, -3.664122, 53.618320, 0.488550, opening
0.089111, 1.005859, -0.054443, -3.480916, 54.351147, 0.549618, opening
0.095703, 1.009033, -0.033203, -2.931298, 55.145039, 0.244275, opening
0.110107, 0.952881, -0.034424, -2.381679, 55.694656, -0.122137, opening
0.090820, 1.047119, -0.009277, -4.946565, 56.671757, 0.549618, opening
0.109619, 1.021240, -0.077637, -6.229008, 56.427483, 0.488550, opening
0.076172, 1.040527, -0.077393, -1.648855, 57.038170, 0.488550, opening
0.103760, 1.023682, -0.087891, 0.244275, 57.648853, 0.427481, opening
0.101318, 0.981201, -0.091309, -0.977099, 58.198475, 0.305344, opening
0.128906, 1.037354, -0.131348, -2.870229, 58.442749, 0.000000, opening
0.044678, 1.078369, -0.093506, -4.091603, 57.648853, 0.793893, opening
0.126709, 0.994873, -0.115479, -3.664122, 60.152672, 1.038168, opening
