ax,az,gx,gz,state
0.000000,0.000000,-3.297710,0.732824,stable
0.000000,0.000000,-3.175573,1.160305,stable
0.000000,0.000000,-3.175573,0.793893,stable
0.000000,0.000000,-3.297710,0.732824,stable
0.000000,0.000000,-3.236641,0.854962,stable
0.000000,0.000000,-3.297710,0.916031,stable
0.000000,0.000000,-3.236641,1.038168,stable
0.000000,0.000000,-3.358779,1.038168,stable
0.000000,0.000000,-3.603053,1.038168,stable
0.000000,0.000000,-3.175573,0.916031,stable
0.000000,0.000000,-3.358779,0.793893,stable
0.000000,0.000000,-3.236641,1.038168,stable
0.000000,0.000000,-3.358779,0.916031,stable
0.000000,0.000000,-3.419847,1.160305,stable
0.000000,0.000000,-3.236641,1.038168,stable
0.000000,0.000000,-3.236641,0.916031,stable
0.000000,0.000000,-3.236641,0.854962,stable
0.000000,0.000000,-3.358779,0.916031,stable
0.000000,0.000000,-3.297710,0.854962,stable
0.000000,0.000000,-3.358779,0.854962,stable
0.000000,0.000000,-3.419847,0.977099,stable
0.000000,0.000000,-3.358779,0.977099,stable
0.000000,0.000000,-3.175573,0.977099,stable
0.000000,0.000000,-3.358779,1.038168,stable
0.000000,0.000000,-3.114504,0.916031,stable
0.000000,0.000000,-3.114504,1.038168,stable
0.000000,0.000000,-3.297710,1.038168,stable
0.000000,0.000000,-3.236641,1.038168,stable
0.000000,0.000000,-3.419847,0.916031,stable
0.000000,0.000000,-3.236641,1.038168,stable
0.000000,0.000000,-3.297710,0.854962,stable
0.000000,0.000000,-3.480916,0.793893,stable
0.000000,0.000000,-3.175573,0.793893,stable
0.000000,0.000000,-3.236641,0.793893,stable
0.000000,0.000000,-3.297710,0.977099,stable
0.000000,0.000000,-3.358779,0.793893,stable
0.000000,0.000000,-3.297710,0.916031,stable
0.000000,0.000000,-3.297710,1.038168,stable
0.000000,0.000000,-3.175573,0.854962,stable
0.000000,0.000000,-3.236641,0.916031,stable
0.000000,0.000000,-3.236641,0.977099,stable
0.000000,0.000000,-3.297710,0.916031,stable
0.000000,0.000000,-3.236641,1.038168,stable
0.000000,0.000000,-3.419847,0.854962,stable
0.000000,0.000000,-3.480916,1.099237,stable
0.000000,0.000000,-3.419847,0.793893,stable
0.000000,0.000000,-3.358779,1.038168,stable
0.000000,0.000000,-3.358779,0.977099,stable
0.000000,0.000000,-3.358779,0.854962,stable
0.000000,0.000000,-3.297710,1.038168,stable
